node;degree;strength;clustering_coefficient;average_path_length;betweenness_centrality;eigenvector_centrality;pagerank;pagerank_num
LON;242;1464828.0;0.11234182641198862;2.6358860934476085;0.08498898419090709;0.20037151387442248;0.015605513757651656;1.0
PAR;250;1023424.5;0.0891566265060241;2.6884158142106718;0.09342038060218948;0.18028731647854712;0.012729291781017522;2.0
NYC;179;1524349.5;0.15755445358106837;2.7091512303013547;0.06928349085871564;0.16058354482771917;0.012470612571599716;3.0
TYO;111;1102042.0;0.13333333333333333;2.800110588885817;0.06024259549977447;0.07522452294905493;0.010376511709270047;4.0
CHI;184;1329505.0;0.1341767640769779;2.8086812275366326;0.0444434970988368;0.13810202765314022;0.010179654728864507;5.0
LAX;133;1021389.0;0.17509683299156983;2.732098424108377;0.06624987936182283;0.10247476996734595;0.009173252627875444;6.0
SYD;70;379591.5;0.11884057971014493;3.2355543267901576;0.034243263211586966;0.016334460207867933;0.008922836322089293;7.0
ATL;172;1129605.0;0.13783489732082144;2.916228918993641;0.02489617826231194;0.12207139421519625;0.008602871636390027;8.0
FRA;237;697513.5;0.11696345562468712;2.682886369919823;0.06557771120844091;0.1955460315813115;0.007704300967403013;9.0
DFW;147;973068.5;0.1554375174727425;2.960740945534974;0.022851668374364142;0.09986791908736427;0.007602331506147357;10.0
SAO;82;424693.0;0.1315868714242698;3.100082941664363;0.0407248957341182;0.05277559613670492;0.006518035119665711;11.0
BKK;102;426537.5;0.16268685692098622;2.958529167818634;0.03478616814601428;0.06598599214860464;0.006138416166338365;12.0
SIN;92;412316.0;0.1760630673674152;2.9270113353607963;0.0753624044622871;0.053051026687313624;0.005899970613865134;13.0
MOW;186;217145.0;0.0958442313281023;2.878352225601327;0.05221081227486643;0.11664480153538055;0.005883720925083056;14.0
SEA;89;409161.0;0.195097037793667;2.9811998894111142;0.052378568564902944;0.06433949356089594;0.005506544606907898;15.0
MEL;38;249697.5;0.1678520625889047;3.297484102847664;0.010276641470835455;0.008428935690828917;0.005438830935608051;16.0
YTO;116;429693.0;0.20764617691154422;2.8388166989217583;0.04169030054706911;0.10492627342471277;0.0054075192977107;17.0
AMS;192;481335.0;0.14283376963350786;2.732098424108377;0.04049213102328635;0.17145159687750883;0.005383750127221096;18.0
ANC;39;69539.0;0.0796221322537112;3.217583632844899;0.08152332552856371;0.01567684306539465;0.00531267989163413;19.0
BNE;58;168691.0;0.12038717483363581;3.3381255183854024;0.038907712085158364;0.010524283598999236;0.005281782732292561;20.0
MAD;105;511075.0;0.2326007326007326;3.0641415537738457;0.010409438356732815;0.10741950401951054;0.005276475900160352;21.0
HKG;98;451676.5;0.20113612455291394;2.84241083771081;0.046937481349003746;0.057218462277797824;0.005175592267998545;22.0
HOU;144;654154.5;0.16336441336441337;2.9839646115565386;0.017457042780543712;0.0962863208617945;0.00516273354824038;23.0
